fixture_id,cohort,source_path,source_kind,prediction_scope,validation_tier,no_bet,freeze_id,kickoff_utc
1494232,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/final_owner_shortlist.json,final_owner_shortlist:best_3_end_result,,,False,e4253db9-0076-4cd9-9ec2-fead3bc94787,
1494227,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/final_owner_shortlist.json,final_owner_shortlist:best_3_end_result,,,False,ea957992-e387-4514-9930-0bedf288b536,
1494232,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/final_owner_shortlist.json,final_owner_shortlist:best_3_model_consensus,,,False,e4253db9-0076-4cd9-9ec2-fead3bc94787,
1494227,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/final_owner_shortlist.json,final_owner_shortlist:best_3_model_consensus,,,False,ea957992-e387-4514-9930-0bedf288b536,
1494232,EXACT_SCORE_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/final_owner_shortlist.json,final_owner_shortlist:best_3_exact_score,,,False,e4253db9-0076-4cd9-9ec2-fead3bc94787,
1494227,EXACT_SCORE_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/final_owner_shortlist.json,final_owner_shortlist:best_3_exact_score,,,False,ea957992-e387-4514-9930-0bedf288b536,
1494232,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_end_result,,,False,e4253db9-0076-4cd9-9ec2-fead3bc94787,
1494227,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_end_result,,,False,ea957992-e387-4514-9930-0bedf288b536,
1515896,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_end_result,,,True,deb93c3e-7865-423d-9073-8a6054a08722,
1494232,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_model_consensus,,,False,e4253db9-0076-4cd9-9ec2-fead3bc94787,
1494227,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_model_consensus,,,False,ea957992-e387-4514-9930-0bedf288b536,
1498695,RESEARCH_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_model_consensus,,,True,3e1e0a3b-8246-43bf-aee1-8dc68d627f98,
1494232,EXACT_SCORE_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_exact_score,,,False,e4253db9-0076-4cd9-9ec2-fead3bc94787,
1494227,EXACT_SCORE_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_exact_score,,,False,ea957992-e387-4514-9930-0bedf288b536,
1498695,EXACT_SCORE_APPROVED,artifacts/next_4_days_complete_predictions/2026-08-01_2026-08-04/20260731T215354Z/pre_enrichment_backup/final_owner_shortlist.json,final_owner_shortlist:best_3_exact_score,,,True,3e1e0a3b-8246-43bf-aee1-8dc68d627f98,
1607563,EXACT_SCORE_APPROVED,artifacts/next_5_days_12_1x2_2_exact/2026-08-02_2026-08-06/20260801T212856Z/final_2_low_goal_exact.json,final_2_low_goal_exact,,,True,99f3f427-3569-4aee-9870-964e6d6a0cae,
1498691,EXACT_SCORE_APPROVED,artifacts/next_5_days_12_1x2_2_exact/2026-08-02_2026-08-06/20260801T213441Z/final_2_low_goal_exact.json,final_2_low_goal_exact,,,True,658aa93e-ac71-4be1-8e98-0daabdb59566,
1498695,EXACT_SCORE_APPROVED,artifacts/next_5_days_12_1x2_2_exact/2026-08-02_2026-08-06/20260801T213441Z/final_2_low_goal_exact.json,final_2_low_goal_exact,,,True,3e1e0a3b-8246-43bf-aee1-8dc68d627f98,
1585131,STRICT_PRODUCTION_APPROVED,artifacts/owner_balanced_odds_picks_20260714_20260714T110956Z/selected_matches.json,selected_matches+production_scope,production,A,,,2026-07-14T19:00:00+00:00
1554376,STRICT_PRODUCTION_APPROVED,artifacts/owner_balanced_odds_picks_20260714_20260714T110956Z/selected_matches.json,selected_matches+production_scope,production,A,,,2026-07-14T18:00:00+00:00
1589421,STRICT_PRODUCTION_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day1_best_three.json,day_best_three+production_scope,production,A,True,aa2b8366-7125-4eb2-8594-30e67b16fa19,2026-07-29T18:00:00+00:00
1593514,STRICT_PRODUCTION_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day1_best_three.json,day_best_three+production_scope,production,A,True,8f0b4544-33bd-4435-947f-c7ea4aed3c41,2026-07-29T18:30:00+00:00
1556506,STRICT_PRODUCTION_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day1_best_three.json,day_best_three+production_scope,production,A,True,cf2762bb-fd99-43ce-855f-7dc4a5da9683,2026-07-29T18:00:00+00:00
1556537,STRICT_PRODUCTION_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day2_best_three.json,day_best_three+production_scope,production,A,True,d168abc0-ea85-4ac8-a2bb-7910b0575196,2026-07-30T16:00:00+00:00
1556534,STRICT_PRODUCTION_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day2_best_three.json,day_best_three+production_scope,production,A,True,c8144238-8777-42a8-9ddc-4bef4a974c89,2026-07-30T17:00:00+00:00
1556540,STRICT_PRODUCTION_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day2_best_three.json,day_best_three+production_scope,production,A,True,b21885a8-653d-46ec-b0e2-eaa4c008a684,2026-07-30T14:00:00+00:00
1554421,STRICT_PRODUCTION_APPROVED,artifacts/today_balanced_odds_20260715/selected_top3.json,selected_top3+production_scope,production,A,,,2026-07-15T18:30:00+00:00
1586077,STRICT_PRODUCTION_APPROVED,artifacts/today_balanced_odds_20260715/selected_top3.json,selected_top3+production_scope,production,A,,,2026-07-15T19:00:00+00:00
1554375,STRICT_PRODUCTION_APPROVED,artifacts/today_balanced_odds_20260715/selected_top3.json,selected_top3+production_scope,production,A,,,2026-07-15T18:15:00+00:00
1589421,STRICT_PRODUCTION_APPROVED,artifacts/tomorrow_best_three_top10/2026-07-29/20260728T183838Z/selected_top3.json,selected_top3+production_scope,production,A,True,aa2b8366-7125-4eb2-8594-30e67b16fa19,2026-07-29T18:00:00+00:00
1593514,STRICT_PRODUCTION_APPROVED,artifacts/tomorrow_best_three_top10/2026-07-29/20260728T183838Z/selected_top3.json,selected_top3+production_scope,production,A,True,8f0b4544-33bd-4435-947f-c7ea4aed3c41,2026-07-29T18:30:00+00:00
1556506,STRICT_PRODUCTION_APPROVED,artifacts/tomorrow_best_three_top10/2026-07-29/20260728T183838Z/selected_top3.json,selected_top3+production_scope,production,A,True,cf2762bb-fd99-43ce-855f-7dc4a5da9683,2026-07-29T18:00:00+00:00
1556508,STRICT_PRODUCTION_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_BETTABLE_CANDIDATE+production_scope,production,A,False,ccd2a46d-abac-4474-9880-8d003e74db26,2026-07-29T17:00:00+00:00
