sportmonks_fixture_id,bookmaker,market,label,selection_name,odds,implied_probability,timestamp,finished,league_id,season_id,mapping_confidence,reason
19609164,Bet365,First Goal Scorer,First,Musa Al-Taamari,15.0,0.066667,,True,732,,UNMAPPED,no_match
19609164,Bet365,Last Goal Scorer,Last,Ibrahim Sabra,15.0,0.066667,,True,732,,UNMAPPED,no_match
19609164,Bet365,Last Goal Scorer,Last,Musa Al-Taamari,15.0,0.066667,,True,732,,UNMAPPED,no_match
19609164,Bet365,Away Anytime Goal Scorer,Anytime,Ibrahim Sabra,5.5,0.181818,,True,732,,UNMAPPED,no_match
19609164,Bet365,Away Anytime Goal Scorer,Anytime,Musa Al-Taamari,6.0,0.166667,,True,732,,UNMAPPED,no_match
19609164,Bet365,Away First Goal Scorer,First,Ibrahim Sabra,15.0,0.066667,,True,732,,UNMAPPED,no_match
19609164,Bet365,Away First Goal Scorer,First,Musa Al-Taamari,15.0,0.066667,,True,732,,UNMAPPED,no_match
19609164,Bet365,Away Last Goal Scorer,Last,Ibrahim Sabra,15.0,0.066667,,True,732,,UNMAPPED,no_match
19609164,Bet365,Away Last Goal Scorer,Last,Musa Al-Taamari,15.0,0.066667,,True,732,,UNMAPPED,no_match
19609164,Betano,Away Anytime Goal Scorer,Anytime,Ibrahim Sabra,4.65,0.215054,,True,732,,UNMAPPED,no_match
19609164,Betano,Away Anytime Goal Scorer,Anytime,Saed Ahmad Salameh Al Rosan,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609164,Betano,Away Anytime Goal Scorer,Anytime,M. Al-Taamari,5.6,0.178571,,True,732,,UNMAPPED,no_match
19609164,Betano,Away Anytime Goal Scorer,Anytime,Shararh,7.1,0.140845,,True,732,,UNMAPPED,no_match
19609164,Betano,Away First Goal Scorer,First,Ibrahim Sabra,12.0,0.083333,,True,732,,UNMAPPED,no_match
19609164,Betano,Away First Goal Scorer,First,Saed Ahmad Salameh Al Rosan,37.0,0.027027,,True,732,,UNMAPPED,no_match
19609164,Betano,Away First Goal Scorer,First,M. Al-Taamari,11.25,0.088889,,True,732,,UNMAPPED,no_match
19609164,Betano,Away First Goal Scorer,First,Shararh,14.0,0.071429,,True,732,,UNMAPPED,no_match
19609164,Betano,Away Last Goal Scorer,Last,Ibrahim Sabra,12.5,0.08,,True,732,,UNMAPPED,no_match
19609164,Betano,Away Last Goal Scorer,Last,Saed Ahmad Salameh Al Rosan,40.0,0.025,,True,732,,UNMAPPED,no_match
19609164,Betano,Away Last Goal Scorer,Last,M. Al-Taamari,11.25,0.088889,,True,732,,UNMAPPED,no_match
19609164,Betano,Away Last Goal Scorer,Last,Shararh,14.5,0.068966,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Sergio Gomez,2.5,0.4,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Marc Bernal,3.5,0.285714,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Benat Turrientes,4.0,0.25,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Jon Martin,5.5,0.181818,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Javier Rodriguez,5.0,0.2,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Pablo Martin Gavi,3.1,0.322581,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Javi Guerra,2.38,0.420168,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Joao Paulo Fernandes,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Edilson Diney,34.0,0.029412,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Jesus Rodriguez,1.83,0.546448,,True,732,,UNMAPPED,no_match
19609162,Bet365,Anytime Goal Scorer,Anytime,Gonzalo Garcia,1.73,0.578035,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Sergio Gomez,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Marc Bernal,11.0,0.090909,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Benat Turrientes,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Jon Martin,19.0,0.052632,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Javier Rodriguez,17.0,0.058824,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Pablo Martin Gavi,10.0,0.1,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Javi Guerra,7.0,0.142857,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Joao Paulo Fernandes,81.0,0.012346,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Edilson Diney,126.0,0.007937,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Jesus Rodriguez,5.0,0.2,,True,732,,UNMAPPED,no_match
19609162,Bet365,First Goal Scorer,First,Gonzalo Garcia,4.5,0.222222,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Sergio Gomez,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Marc Bernal,11.0,0.090909,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Benat Turrientes,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Jon Martin,19.0,0.052632,,True,732,,UNMAPPED,no_match
