sportmonks_fixture_id,fixture_id,player_id,player_name,team_id,match_position,starter,captain,match_minutes,match_goals,match_assists,match_shots,match_shots_on_target,match_xg,league_id,season_id,match_date,goals_last_3,goals_last_5,goals_last_10,assists_last_5,minutes_last_5,starts_last_5,shots_last_5,shots_on_target_last_5,xg_last_5,xg_last_10,goals_per_90,xg_per_90,starter_probability,recent_form_score,position,position_group,formation,lineup_available,lineup_quality_score,starting_xi_json,bench_json,goalkeeper_player_id,expected_minutes,lineup_status,team_strength_proxy,opponent_defense_proxy,target_anytime,first_goal_player_id,target_first_goal,target_most_likely,split,implied_probability_anytime,odds_anytime,implied_probability_first,odds_first,api_football_fixture_id,has_goalscorer_odds
19609153,19609153,29735915,Hyeon-gyu Oh,18567,,False,False,27,1,0,0,1,0.7468,732,26618,2026-06-12 02:00:00+00:00,0,2,4,0,340,4,0,8,2.0858,6.529,0.5294,0.5521,0.8,2.3254,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,75.6,bench,0.048053846153846155,0.3076923076923077,1,80902.0,0,1,test,0.28867133333333334,3.466666666666667,0.14097200000000001,7.133333333333333,1538999,1
19609153,19609153,31626482,Gue-sung Cho,18567,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,2,3,3,0,375,3,0,7,2.1559,3.0236,0.72,0.5174,0.6,3.0438,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,61.2,bench,0.048053846153846155,0.3076923076923077,0,80902.0,0,0,test,0.2654973333333333,3.766666666666667,0.127451,7.933333333333334,1538999,1
19609153,19609153,37259977,David Jurásek,18718,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,251,3,0,0,0.0,0.0485,0.0,0.0,0.6,0.0,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,61.2,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.077778,13.333333333333334,0.037152,29.0,1538999,1
19609153,19609153,37316363,Denis Visinsky,18718,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,1,1,1,0,327,4,0,2,0.0877,0.4139,0.2752,0.0241,0.8,0.4351,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,75.6,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.18787866666666667,5.333333333333333,0.08547,11.916666666666666,1538999,1
19609153,19609153,37342718,Han-beom Lee,18567,DEF,True,False,90,0,0,0,0,0.0418,732,26618,2026-06-12 02:00:00+00:00,0,0,0,1,303,2,0,1,0.0352,0.0352,0.0,0.0105,0.4,0.5474,DEF,DEF,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,46.8,starter,0.048053846153846155,0.3076923076923077,0,80902.0,0,0,test,0.05676,17.666666666666668,0.027370999999999996,37.333333333333336,1538999,1
19609153,19609153,37420363,Young-woo Seol,18567,DEF,True,False,90,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,500,5,0,1,0.0326,0.0326,0.0,0.0059,1.0,0.013,DEF,DEF,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,90.0,starter,0.048053846153846155,0.3076923076923077,0,80902.0,0,0,test,0.08611133333333333,12.666666666666666,0.04341766666666667,27.333333333333332,1538999,1
19609153,19609153,37776545,Hugo Sochurek,18718,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.5,0.0,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,54.0,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.158249,6.666666666666667,0.07089000000000001,14.333333333333334,1538999,1
19609153,19609153,37594544,Stepan Chaloupek,18718,DEF,True,False,99,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,1,1,1,0,396,5,0,1,1.1014,1.155,0.2273,0.2503,1.0,0.4418,DEF,DEF,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,90.0,starter,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.08148166666666667,13.0,0.039216,28.333333333333332,1538999,1
19609153,19609153,37656175,Alexandr Sojka,18718,MID,True,False,87,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,67,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,MID,MID,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,18.0,starter,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.09569366666666668,10.5,0.044160000000000005,23.333333333333332,1538999,1
19609153,19609153,24469159,Robin Hranac,18718,DEF,True,False,99,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,1,1,1,0,100,1,0,1,0.1494,0.1494,0.9,0.1345,0.2,0.2149,DEF,DEF,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,32.4,starter,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.05882400000000001,17.0,0.027370999999999996,37.333333333333336,1538999,1
