fixture_id,competition_key,home_goals,away_goals,favorite_side,favorite_odds,favorite_bucket,over_25_odds,under_25_odds,ou_bucket,favorite_won,is_draw,underdog_won,over_25,btts_yes,first_goal_bucket,first_goal_1_30,first_goal_31_plus,total_goals
1489369,world_cup_2026,2,0,home,1.39,1.21-1.40,1.06,1.03,1.01-1.50,1,0,0,0,0,data_missing,,,2
1489370,world_cup_2026,4,1,home,1.99,1.81-2.00,1.12,1.02,1.01-1.50,1,0,0,1,1,data_missing,,,5
1538999,world_cup_2026,2,1,home,2.5,2.01-2.50,1.13,1.03,1.01-1.50,1,0,0,1,1,data_missing,,,3
1539000,world_cup_2026,1,1,home,1.8,1.61-1.80,1.06,1.03,1.01-1.50,0,1,0,0,1,data_missing,,,2
