fixture_id,competition_key,season,home_team,away_team,home_goals,away_goals,priority_rank,has_sqlite_events,has_egie_events,has_cache_events,has_enrichment_events
1048932,bundesliga,2023,Vfl Bochum,Borussia Monchengladbach,1,3,99,0,0,0,1
1048931,bundesliga,2023,1899 Hoffenheim,Borussia Dortmund,1,3,99,0,0,0,1
1048930,bundesliga,2023,1. FC Köln,VfB Stuttgart,0,2,99,0,0,0,1
1048929,bundesliga,2023,FSV Mainz 05,Bayer Leverkusen,0,3,99,0,0,0,1
1048928,bundesliga,2023,VfL Wolfsburg,Eintracht Frankfurt,2,0,99,0,0,0,1
1048927,bundesliga,2023,SC Freiburg,FC Augsburg,2,0,99,0,0,0,1
1048926,bundesliga,2023,RB Leipzig,Bayern Munich,2,2,99,0,0,0,1
1048925,bundesliga,2023,VfB Stuttgart,SV Darmstadt 98,3,1,99,0,0,0,1
1048924,bundesliga,2023,FC Augsburg,FSV Mainz 05,2,1,99,0,0,0,1
1048923,bundesliga,2023,Werder Bremen,1. FC Köln,2,1,99,0,0,0,1
1048922,bundesliga,2023,Borussia Monchengladbach,RB Leipzig,0,1,99,0,0,0,1
1048920,bundesliga,2023,Bayer Leverkusen,FC Heidenheim,4,1,99,0,0,0,1
1048919,bundesliga,2023,Union Berlin,1899 Hoffenheim,0,2,99,0,0,0,1
1048918,bundesliga,2023,Borussia Dortmund,VfL Wolfsburg,1,0,99,0,0,0,1
1048917,bundesliga,2023,Bayern Munich,Vfl Bochum,7,0,99,0,0,0,1
1048916,bundesliga,2023,SV Darmstadt 98,Borussia Monchengladbach,3,3,99,0,0,0,1
1048915,bundesliga,2023,FC Heidenheim,Werder Bremen,4,2,99,0,0,0,1
1048914,bundesliga,2023,Vfl Bochum,Eintracht Frankfurt,1,1,99,0,0,0,1
1048913,bundesliga,2023,1. FC Köln,1899 Hoffenheim,1,3,99,0,0,0,1
1048912,bundesliga,2023,FSV Mainz 05,VfB Stuttgart,1,3,99,0,0,0,1
1048911,bundesliga,2023,VfL Wolfsburg,Union Berlin,2,1,99,0,0,0,1
1048910,bundesliga,2023,SC Freiburg,Borussia Dortmund,2,4,99,0,0,0,1
1048909,bundesliga,2023,RB Leipzig,FC Augsburg,3,0,99,0,0,0,1
1048908,bundesliga,2023,Bayern Munich,Bayer Leverkusen,2,2,99,0,0,0,1
1048907,bundesliga,2023,VfB Stuttgart,SC Freiburg,5,0,99,0,0,0,1
1048906,bundesliga,2023,FC Augsburg,Vfl Bochum,2,2,99,0,0,0,1
1048905,bundesliga,2023,Werder Bremen,FSV Mainz 05,4,0,99,0,0,0,1
1048904,bundesliga,2023,1899 Hoffenheim,VfL Wolfsburg,3,1,99,0,0,0,1
1048903,bundesliga,2023,Borussia Monchengladbach,Bayern Munich,1,2,99,0,0,0,1
1048902,bundesliga,2023,Eintracht Frankfurt,1. FC Köln,1,1,99,0,0,0,1
1048901,bundesliga,2023,Bayer Leverkusen,SV Darmstadt 98,5,1,99,0,0,0,1
1048900,bundesliga,2023,Union Berlin,RB Leipzig,0,3,99,0,0,0,1
1048899,bundesliga,2023,Borussia Dortmund,FC Heidenheim,2,2,99,0,0,0,1
1048898,bundesliga,2023,SV Darmstadt 98,Union Berlin,1,4,99,0,0,0,1
1048897,bundesliga,2023,FC Heidenheim,1899 Hoffenheim,2,3,99,0,0,0,1
1048896,bundesliga,2023,Vfl Bochum,Borussia Dortmund,1,1,99,0,0,0,1
1048895,bundesliga,2023,1. FC Köln,VfL Wolfsburg,1,2,99,0,0,0,1
1048894,bundesliga,2023,Borussia Monchengladbach,Bayer Leverkusen,0,3,99,0,0,0,1
1048893,bundesliga,2023,FSV Mainz 05,Eintracht Frankfurt,1,1,99,0,0,0,1
1048892,bundesliga,2023,SC Freiburg,Werder Bremen,1,0,99,0,0,0,1
1048891,bundesliga,2023,RB Leipzig,VfB Stuttgart,5,1,99,0,0,0,1
1048890,bundesliga,2023,Bayern Munich,FC Augsburg,3,1,99,0,0,0,1
1048889,bundesliga,2023,VfB Stuttgart,Vfl Bochum,5,0,99,0,0,0,1
1048888,bundesliga,2023,FC Augsburg,Borussia Monchengladbach,4,4,99,0,0,0,1
1048887,bundesliga,2023,1899 Hoffenheim,SC Freiburg,1,2,99,0,0,0,1
1048886,bundesliga,2023,VfL Wolfsburg,FC Heidenheim,2,0,99,0,0,0,1
1048885,bundesliga,2023,Eintracht Frankfurt,SV Darmstadt 98,1,0,99,0,0,0,1
1048884,bundesliga,2023,Bayer Leverkusen,RB Leipzig,3,2,99,0,0,0,1
1048883,bundesliga,2023,Union Berlin,FSV Mainz 05,4,1,99,0,0,0,1
1048882,bundesliga,2023,Borussia Dortmund,1. FC Köln,1,0,99,0,0,0,1
1048881,bundesliga,2023,Werder Bremen,Bayern Munich,0,4,99,0,0,0,1
1029008,bundesliga,2022,Hamburger SV,VfB Stuttgart,1,3,99,0,0,0,1
1029007,bundesliga,2022,VfB Stuttgart,Hamburger SV,3,0,99,0,0,0,1
871469,bundesliga,2022,VfB Stuttgart,1899 Hoffenheim,1,1,99,0,0,0,1
871468,bundesliga,2022,Vfl Bochum,Bayer Leverkusen,3,0,99,0,0,0,1
871467,bundesliga,2022,VfL Wolfsburg,Hertha Berlin,1,2,99,0,0,0,1
